theta_star,score,n_sims,fpr,tau_median,tau_p05,tau_p25,tau_p75,tau_p95,tau_frac_le_5,tau_frac_le_10
0.1,surp2,200,0.335,10.0,2.0,3.0,33.5,104.49999999999994,0.3880597014925373,0.5223880597014925
0.1,surp1,200,0.01,2.5,2.05,2.25,2.75,2.95,1.0,1.0
0.1,sus,200,0.145,22.0,2.0,13.0,68.0,119.79999999999998,0.1724137931034483,0.2413793103448276
0.3,surp2,200,0.17,16.0,2.0,3.5,40.25,95.94999999999996,0.29411764705882354,0.29411764705882354
0.3,surp1,200,0.03,2.0,2.0,2.0,2.0,2.75,1.0,1.0
0.3,sus,200,0.075,3.0,2.0,2.0,9.0,58.399999999999935,0.5333333333333333,0.8666666666666667
0.5,surp2,200,0.085,34.0,2.0,13.0,88.0,123.79999999999998,0.11764705882352941,0.17647058823529413
0.5,surp1,200,0.035,2.0,2.0,2.0,3.0,6.4999999999999964,0.8571428571428571,1.0
0.5,sus,200,0.165,12.0,2.0,2.0,41.0,104.99999999999997,0.36363636363636365,0.45454545454545453
0.7,surp2,200,0.235,10.0,2.0,5.0,32.0,109.69999999999999,0.2765957446808511,0.5531914893617021
0.7,surp1,200,0.03,2.0,2.0,2.0,2.75,3.0,1.0,1.0
0.7,sus,200,0.115,8.0,2.0,2.0,11.5,56.599999999999966,0.43478260869565216,0.7391304347826086
0.9,surp2,200,0.33,8.5,2.0,4.25,36.5,116.75,0.36363636363636365,0.5606060606060606
0.9,surp1,200,0.005,4.0,4.0,4.0,4.0,4.0,1.0,1.0
0.9,sus,200,0.13,22.0,3.0,5.0,44.5,93.25,0.3076923076923077,0.46153846153846156
