score_type_,ratio_naive_mean,ratio_naive_median,ratio_corrected_mean,ratio_corrected_median,level
surp2,0.9998187546654275,0.9847666206937897,0.9998187546654275,0.9847666206937897,per_round
sus_1,0.884206697176435,0.8876973886971404,0.9900238719741528,0.9933174073494986,per_round
sus_3,1.6578553376122258,1.667688507354805,inf,inf,per_round
sus_4,1.7199334559686557,1.7212600491055683,inf,inf,per_round
sus_4b,1.5867102037849532,1.5924141883445162,inf,inf,per_round
surp2,1.0245840349842703,1.0218723794926219,1.0245840349842703,1.0218723794926219,running
sus_1,0.8434088297978694,0.856089021097717,0.9719289396597853,0.9752286880029621,running
sus_3,16.782957490029293,16.542540304641015,inf,128461.50798114757,running
sus_4,17.919449805948307,17.815678971894588,inf,inf,running
sus_4b,14.481296056105846,14.381335429129749,inf,inf,running
